frame_id,video,subset,total_objetos,clase_mayoritaria,cantidad_mayoritaria
0,LGH020002,train,88,1,57
1020,LGH020002,train,52,1,35
1050,LGH020002,val,48,1,27
10760,LGH020002,val,193,1,105
1080,LGH020002,val,38,1,22
1110,LGH020002,train,43,1,29
1140,LGH020002,train,48,1,37
1170,LGH020002,train,52,1,41
120,LGH020002,train,57,1,37
1200,LGH020002,val,57,1,43
1230,LGH020002,train,74,1,51
1260,LGH020002,train,85,1,52
1290,LGH020002,train,98,1,75
1320,LGH020002,train,82,1,69
1350,LGH020002,train,59,1,42
1380,LGH020002,val,66,1,52
1410,LGH020002,train,94,1,60
1440,LGH020002,val,97,1,55
1470,LGH020002,train,102,1,58
150,LGH020002,train,48,1,37
1500,LGH020002,train,88,0,50
1530,LGH020002,train,67,1,38
1560,LGH020002,train,62,1,43
1590,LGH020002,val,49,1,29
1620,LGH020002,train,53,1,33
1650,LGH020002,train,63,1,45
1680,LGH020002,val,58,1,36
1710,LGH020002,train,58,1,37
1740,LGH020002,train,44,1,28
1770,LGH020002,val,42,1,31
180,LGH020002,train,63,1,34
1800,LGH020002,train,39,1,27
1830,LGH020002,train,54,1,31
1860,LGH020002,train,86,1,54
1890,LGH020002,train,111,1,70
19113,LGH020002,train,141,1,94
1920,LGH020002,train,145,0,73
1950,LGH020002,train,121,0,61
1980,LGH020002,train,100,1,59
1981,LGH020002,train,100,1,64
2010,LGH020002,train,76,1,48
20317,LGH020002,train,115,1,74
2040,LGH020002,train,71,1,44
2070,LGH020002,val,66,1,37
210,LGH020002,train,78,1,52
2100,LGH020002,train,74,1,48
2130,LGH020002,train,60,1,36
2160,LGH020002,train,57,1,36
2190,LGH020002,train,55,1,35
2220,LGH020002,val,44,1,30
2250,LGH020002,train,40,1,32
2280,LGH020002,train,45,1,34
2310,LGH020002,train,53,1,38
23149,LGH020002,val,85,1,47
2340,LGH020002,train,87,1,61
23614,LGH020002,val,89,1,57
240,LGH020002,train,86,1,47
24158,LGH020002,train,104,1,58
270,LGH020002,train,80,1,43
30,LGH020002,train,72,1,47
300,LGH020002,train,80,1,42
330,LGH020002,train,56,1,36
360,LGH020002,train,50,0,28
390,LGH020002,train,35,1,20
39307,LGH020002,train,90,0,53
420,LGH020002,val,31,1,22
42388,LGH020002,train,47,0,28
450,LGH020002,train,37,1,27
480,LGH020002,train,33,1,19
510,LGH020002,train,26,1,19
540,LGH020002,train,41,1,25
5592,LGH020002,train,43,1,33
570,LGH020002,val,38,1,25
60,LGH020002,train,77,1,55
600,LGH020002,train,33,1,25
630,LGH020002,train,37,1,25
660,LGH020002,train,53,1,31
690,LGH020002,train,60,0,34
720,LGH020002,train,40,0,24
750,LGH020002,train,45,1,28
780,LGH020002,train,44,1,28
810,LGH020002,val,36,1,25
840,LGH020002,train,22,1,16
870,LGH020002,train,21,1,19
90,LGH020002,train,78,1,58
900,LGH020002,val,46,0,25
930,LGH020002,train,66,0,40
960,LGH020002,val,87,1,51
990,LGH020002,train,65,1,34
